,failures,higher,age,Medu,Fedu,goout,G3
100,0,0,16,4,4,5,5
101,0,0,16,4,4,3,17
102,0,0,15,4,4,3,14
103,0,0,15,3,2,5,6
104,0,0,15,3,4,4,18
105,0,0,15,3,3,3,11
106,0,0,15,2,2,2,8
107,0,0,16,3,3,3,18
108,0,0,15,4,4,5,13
109,0,0,16,4,4,5,16
110,0,0,15,4,4,3,19
111,1,0,16,3,3,2,10
112,1,0,16,2,2,2,13
113,0,0,15,4,2,2,19
114,0,0,15,2,1,2,9
115,0,0,16,4,4,4,16
116,0,0,15,4,4,3,14
117,0,0,16,3,3,2,13
118,1,0,17,1,3,4,8
119,0,0,15,3,4,3,13
120,0,0,15,1,2,3,15
121,0,0,15,2,2,4,15
122,0,0,16,2,4,2,13
123,0,0,16,4,4,4,13
124,0,0,16,2,2,4,8
125,0,0,15,3,4,5,12
126,0,0,15,3,4,2,11
127,3,1,19,0,1,2,9
128,2,0,18,2,2,3,0
129,0,0,16,4,4,5,18
130,2,0,15,3,4,2,0
131,0,0,15,1,1,3,0
132,0,0,17,2,2,4,12
133,0,0,16,3,4,1,11
134,0,0,15,3,4,3,0
135,0,0,15,4,4,3,0
136,0,0,17,3,4,5,0
137,2,0,16,3,3,2,0
138,1,0,16,1,1,4,12
139,0,0,15,4,4,2,15
140,0,0,15,4,3,2,0
141,2,0,16,2,2,3,9
142,0,0,15,4,4,2,11
143,0,0,16,1,1,4,13
144,3,0,17,2,1,5,0
145,0,0,15,1,1,2,11
146,3,0,15,3,2,2,0
147,0,0,15,1,2,2,11
148,0,1,16,4,4,2,0
149,3,0,15,2,1,5,10
150,3,1,18,1,1,5,0
151,1,0,16,2,1,4,14
152,2,0,15,3,3,1,10
153,3,1,19,3,2,4,0
154,0,0,17,4,4,1,12
155,0,0,15,2,3,4,8
156,0,0,17,1,2,2,13
157,3,0,18,1,1,5,10
158,0,0,16,2,2,2,15
159,1,0,16,3,3,5,12
160,2,1,17,2,1,2,0
161,2,0,15,3,2,4,7
162,1,0,16,1,2,4,0
163,0,1,17,1,3,3,10
164,3,1,17,1,1,5,7
165,1,1,16,3,2,2,12
166,0,1,16,2,2,5,10
167,0,0,16,4,2,3,16
168,0,0,16,2,2,5,0
169,0,0,16,4,4,2,14
170,2,0,16,3,4,5,0
171,0,0,16,1,0,2,16
172,0,0,17,4,4,4,10
173,3,0,16,1,3,5,0
174,0,0,16,3,3,5,9
175,0,0,17,4,3,4,9
176,0,0,16,2,2,4,11
177,0,0,17,3,3,4,6
178,0,0,16,4,2,3,9
179,0,0,17,4,3,3,11
180,0,0,16,4,3,3,8
181,0,0,16,3,3,3,12
182,0,0,17,2,4,2,17
183,0,0,17,3,3,3,8
184,0,0,16,3,2,2,12
185,0,0,17,3,3,4,11
186,0,0,16,1,2,3,11
187,0,0,16,2,1,3,15
188,0,0,17,3,3,3,9
189,0,0,17,1,2,3,10
190,0,0,16,2,3,3,13
191,0,0,17,1,1,3,9
192,0,0,17,1,2,4,8
193,0,0,16,3,3,2,10
194,0,0,16,2,3,3,14
195,0,0,17,2,4,2,15
196,0,0,17,4,4,3,16
197,0,0,16,3,3,4,10
198,1,0,17,4,4,4,18
199,0,0,16,4,4,2,10
200,0,0,16,4,3,5,16
201,0,0,16,2,3,3,10
202,0,0,17,1,1,4,10
203,0,0,17,2,2,2,6
204,0,0,16,2,2,5,11
205,1,0,17,3,4,3,9
206,3,0,16,3,1,3,7
207,0,0,16,4,3,2,13
208,0,0,16,1,1,2,10
209,0,0,17,4,3,2,7
210,0,0,19,3,3,3,8
211,0,0,17,4,4,5,13
212,0,0,16,2,2,4,14
213,1,0,18,2,2,4,8
214,0,0,17,4,4,1,10
215,0,0,17,3,2,4,15
216,2,0,17,4,3,5,4
217,1,0,18,3,3,4,8
218,0,0,17,2,3,3,8
219,0,0,17,2,2,3,10
220,0,0,17,2,1,5,6
221,1,0,17,1,1,4,0
222,0,0,16,2,3,1,17
223,0,0,18,2,2,3,13
224,0,0,16,4,4,2,14
225,1,0,18,3,1,3,7
226,0,0,17,3,2,4,15
227,0,0,17,2,3,3,12
228,0,0,18,2,1,2,9
229,0,0,17,2,1,3,12
230,0,0,17,4,3,3,14
231,0,0,17,2,2,2,11
232,0,0,17,4,4,5,9
233,0,0,16,4,4,4,13
234,0,0,16,1,1,2,6
235,0,0,16,3,2,3,10
236,0,0,17,2,2,2,13
237,0,0,16,2,1,2,12
238,0,0,17,2,1,1,11
239,1,1,18,2,2,4,0
240,0,0,17,4,3,5,12
241,0,0,17,4,4,3,12
242,0,0,16,4,3,5,0
243,0,0,16,4,4,2,12
244,0,0,18,2,1,4,0
245,0,0,16,2,1,3,18
246,0,0,17,2,3,2,13
247,3,1,22,3,1,5,8
248,1,0,18,3,3,3,5
249,0,0,16,0,2,2,15
250,1,1,18,3,2,5,8
251,0,0,16,3,3,3,10
252,1,1,18,2,1,5,8
253,0,0,16,2,1,2,8
254,0,0,17,2,1,2,12
255,1,0,17,1,1,4,8
256,0,0,17,4,2,3,13
257,0,0,19,4,3,1,11
258,0,0,18,2,1,4,14
259,0,0,17,2,2,1,0
260,0,0,18,4,3,2,18
261,0,0,18,4,3,2,8
262,0,0,18,3,2,2,12
263,0,0,17,3,3,3,9
264,0,0,18,2,2,3,0
265,0,0,18,3,4,5,17
266,0,0,17,3,1,4,10
267,0,0,18,4,4,4,11
268,0,0,18,4,2,5,10
269,0,1,18,2,1,5,0
270,2,0,19,3,3,5,9
271,0,0,18,2,3,5,14
272,0,0,18,1,1,3,11
273,0,0,17,1,2,2,14
274,0,0,17,2,4,3,10
275,0,0,17,2,2,4,12
276,0,1,18,3,2,1,9
277,0,0,18,4,4,4,9
278,1,0,18,4,4,4,8
279,0,0,18,4,3,3,10
280,0,0,17,4,1,4,8
281,1,0,17,3,2,4,10
282,0,0,18,1,1,2,12
283,0,0,18,1,1,4,10
284,0,0,17,2,2,5,11
285,0,0,17,1,1,3,11
286,0,0,18,2,2,3,19
287,0,0,17,1,1,3,12
288,0,0,18,2,1,4,14
289,0,0,18,4,4,3,15
290,0,0,18,4,2,2,11
291,0,0,17,4,3,2,15
292,1,0,18,2,1,3,13
293,0,0,17,3,1,2,18
294,0,0,18,3,2,2,14
295,0,0,17,3,3,3,11
296,0,0,19,4,4,4,0
297,0,0,18,4,3,5,8
298,0,0,18,4,3,3,14
299,0,0,18,4,4,2,16
300,0,0,18,4,4,4,11
301,0,0,17,4,4,1,10
302,0,0,17,4,2,3,14
303,0,0,17,3,2,2,18
304,1,0,19,3,3,4,13
305,1,0,18,2,4,3,12
306,0,0,20,3,2,3,18
307,1,0,19,4,4,4,8
308,1,0,19,3,3,3,12
309,1,0,19,1,1,3,10
310,1,0,19,1,2,4,0
311,0,1,19,2,1,1,13
312,1,0,19,1,2,2,11
313,1,0,19,3,2,2,11
314,2,0,19,1,1,2,13
315,1,0,19,2,3,2,11
316,0,0,18,2,1,3,0
317,0,0,18,4,3,4,9
318,0,0,17,3,4,4,10
319,0,0,18,4,4,4,11
320,0,0,17,4,3,2,13
321,0,0,17,2,2,2,9
322,0,0,17,2,2,2,11
323,0,0,17,3,1,3,15
324,0,0,17,0,2,3,15
325,0,0,18,4,4,3,11
326,0,0,17,3,3,5,16
327,0,0,17,2,2,5,10
328,0,0,17,4,4,4,9
329,0,0,17,4,4,3,14
330,0,0,18,2,2,5,8
331,0,0,17,2,4,3,14
332,0,0,18,3,3,4,0
333,0,0,18,2,2,3,0
334,0,0,18,2,2,4,0
335,0,0,17,3,4,5,15
336,1,0,19,3,1,3,13
337,0,0,17,3,2,2,0
338,0,0,18,3,3,3,17
339,0,0,17,3,2,3,10
340,1,0,19,2,1,4,11
341,1,0,18,4,4,3,0
342,0,0,18,3,4,3,15
343,1,0,17,2,2,1,0
344,0,0,18,2,3,3,10
345,0,0,18,3,2,3,14
346,0,0,18,4,3,2,16
347,0,0,18,4,3,5,9
348,0,0,17,4,3,3,15
349,1,0,18,3,2,5,13
350,3,0,19,1,1,4,8
351,0,0,17,3,3,4,13
352,1,1,18,1,3,3,8
353,1,0,19,1,1,4,8
354,0,0,17,4,3,5,11
355,0,0,18,3,3,4,9
356,0,0,17,4,4,3,13
357,0,0,17,3,2,3,11
358,0,0,18,1,1,2,10
359,0,0,18,1,1,2,16
360,0,0,18,1,4,4,13
361,1,1,18,1,1,3,12
362,0,0,18,3,3,2,10
363,0,0,17,4,4,4,15
364,0,0,17,1,2,2,12
365,0,0,18,1,3,4,10
366,0,0,18,4,4,2,13
367,1,0,17,1,1,1,0
368,0,0,18,2,3,3,10
369,0,0,18,4,4,2,11
370,2,0,19,3,2,2,9
371,0,1,18,1,2,3,12
372,0,0,17,2,2,3,11
373,0,0,17,1,2,5,5
374,0,0,18,4,4,4,19
375,0,0,18,1,1,2,10
376,2,0,20,4,2,3,15
377,0,0,18,4,4,3,10
378,0,0,18,3,3,3,15
379,0,0,17,3,1,4,10
380,0,0,18,4,4,4,14
381,0,0,18,2,1,3,7
382,0,0,17,2,3,3,10
383,1,0,19,1,1,2,0
384,1,0,18,4,2,3,5
385,0,0,18,2,2,3,10
386,0,0,18,4,4,3,6
387,1,0,19,2,3,2,0
388,0,0,18,3,1,4,8
389,1,0,18,1,1,1,0
390,2,0,20,2,2,4,9
391,0,0,17,3,1,5,16
392,3,0,21,1,1,3,7
393,0,0,18,3,2,1,10
394,0,0,19,1,1,3,9
